NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
BCDDC26BA2D4,1596646800,118.989,27.054,0.000,5.255,7.203,0.000
BCDDC26BA2D4,1596650400,118.989,27.140,0.000,7.994,10.962,0.000
BCDDC26BA2D4,1596654000,118.989,27.055,0.000,5.029,8.121,0.000
BCDDC26BA2D4,1596657600,118.989,27.246,0.000,14.385,16.650,0.000
BCDDC26BA2D4,1596661200,118.989,27.141,0.000,21.507,24.687,0.000
BCDDC26BA2D4,1596664800,118.989,26.754,0.000,8.007,10.618,0.000
BCDDC26BA2D4,1596668400,118.989,26.550,0.000,7.490,10.104,0.000
BCDDC26BA2D4,1596672000,118.989,26.793,0.000,16.759,24.029,0.000
BCDDC26BA2D4,1596675600,118.989,27.230,0.000,16.781,20.705,0.000
BCDDC26BA2D4,1596679200,118.989,27.661,0.000,29.933,34.254,0.000
BCDDC26BA2D4,1596682800,118.989,27.953,0.000,34.537,42.191,0.000
BCDDC26BA2D4,1596686400,118.989,28.365,0.000,26.366,29.632,0.000
BCDDC26BA2D4,1596690000,118.989,28.718,0.000,23.056,25.683,0.000
